Order,Family ,Taxa,Endemic_Revised,
Perciformes,Acanthuridae,Acanthurus achilles,0,
Perciformes,Acanthuridae,Acanthurus blochii,0,
Perciformes,Acanthuridae,Acanthurus dussumieri,0,
Perciformes,Acanthuridae,Acanthurus guttatus,0,
Perciformes,Acanthuridae,Acanthurus leucopareius,0,
Perciformes,Acanthuridae,Acanthurus lineatus,0,
Perciformes,Acanthuridae,Acanthurus maculiceps,0,
Perciformes,Acanthuridae,Acanthurus nigricans,0,
Perciformes,Acanthuridae,Acanthurus nigrofuscus,0,
Perciformes,Acanthuridae,Acanthurus nigroris,1,
Perciformes,Acanthuridae,Acanthurus olivaceus,0,
Perciformes,Acanthuridae,Acanthurus thompsoni,0,
Perciformes,Acanthuridae,Acanthurus triostegus,0,
Perciformes,Acanthuridae,Acanthurus xanthopterus,0,
Perciformes,Acanthuridae,Ctenochaetus hawaiiensis,0,
Perciformes,Acanthuridae,Ctenochaetus strigosus,1,
Perciformes,Acanthuridae,Naso annulatus,0,
Perciformes,Acanthuridae,Naso brevirostris,0,
Perciformes,Acanthuridae,Naso caesius,0,
Perciformes,Acanthuridae,Naso hexacanthus,0,
Perciformes,Acanthuridae,Naso lituratus,0,
Perciformes,Acanthuridae,Naso maculatus,0,
Perciformes,Acanthuridae,Naso unicornis,0,
Perciformes,Acanthuridae,Zebrasoma flavescens,0,
Perciformes,Acanthuridae,Zebrasoma veliferum,0,
Lophiiformes,Antennariidae,Antennarius commersoni,0,
Perciformes,Apogonidae ,Apogon kallopterus,0,
Perciformes,Apogonidae ,Apogon maculiferus,1,
Perciformes,Apogonidae ,Apolemichthys arcuatus,1,
Sygnathiformes ,Aulostomidae ,Aulostomus chinensis,0,
Tetraodontiformes,Balistidae ,Balistes polylepis,0,
Tetraodontiformes,Balistidae ,Melichthys niger,0,
Tetraodontiformes,Balistidae ,Melichthys vidua,0,
Tetraodontiformes,Balistidae ,Rhinecanthus aculeatus,0,
Tetraodontiformes,Balistidae ,Rhinecanthus rectangulus,0,
Tetraodontiformes,Balistidae ,Sufflamen bursa,0,
Tetraodontiformes,Balistidae ,Sufflamen fraenatum,0,
Tetraodontiformes,Balistidae ,Xanthichthys auromarginatus,0,
Tetraodontiformes,Balistidae ,Xanthichthys mento,0,
Perciformes,Blenniidae ,Cirripectes obscurus,1,
Perciformes,Blenniidae ,Cirripectes vanderbilti,1,
Perciformes,Blenniidae ,Entomacrodus marmoratus,1,
Perciformes,Blenniidae ,Epibulus insidiator,0,
Perciformes,Blenniidae ,Exallias brevis,0,
Perciformes,Blenniidae ,Plagiotremus ewaensis,1,
Perciformes,Blenniidae ,Plagiotremus goslinei,1,
Pleuronectiformes,Bothidae,Bothus mancus,0,
Carangiformes,Carangidae ,Carangoides ferdau,0,
Carangiformes,Carangidae ,Carangoides orthogrammus,0,
Carangiformes,Carangidae ,Pseudocaranx cheilio,0,
Carangiformes,Carangidae ,Scomberoides lysan,0,
Perciformes,Carangidae ,Seriola dumerili,0,
Perciformes,Chaetodontidae ,Chaetodon auriga,0,
Perciformes,Chaetodontidae ,Chaetodon citrinellus,0,
Perciformes,Chaetodontidae ,Chaetodon ephippium,0,
Perciformes,Chaetodontidae ,Chaetodon fremblii,1,
Perciformes,Chaetodontidae ,Chaetodon kleinii,0,
Perciformes,Chaetodontidae ,Chaetodon lineolatus,0,
Perciformes,Chaetodontidae ,Chaetodon lunula,0,
Perciformes,Chaetodontidae ,Chaetodon lunulatus,0,
Perciformes,Chaetodontidae ,Chaetodon miliaris,1,
Perciformes,Chaetodontidae ,Chaetodon multicinctus,1,
Perciformes,Chaetodontidae ,Chaetodon ornatissimus,0,
Perciformes,Chaetodontidae ,Chaetodon quadrimaculatus,0,
Perciformes,Chaetodontidae ,Chaetodon reticulatus,0,
Perciformes,Chaetodontidae ,Chaetodon tinkeri,0,
Perciformes,Chaetodontidae ,Chaetodon trifascialis,0,
Perciformes,Chaetodontidae ,Chaetodon unimaculatus,0,
Perciformes,Chaetodontidae ,Forcipiger flavissimus,0,
Perciformes,Chaetodontidae ,Forcipiger longirostris,0,
Perciformes,Chaetodontidae ,Hemitaurichthys polylepis,0,
Perciformes,Chaetodontidae ,Hemitaurichthys thompsoni,0,
Perciformes,Chaetodontidae ,Heniochus diphreutes,0,
Perciformes,Cheilodactylidae,Goniistius vittatus,1,
Perciformes,Cirrhitidae,Amblycirrhitus bimacula,0,
Perciformes,Cirrhitidae,Cirrhitops fasciatus,0,
Perciformes,Cirrhitidae,Cirrhitus pinnulatus,0,
Perciformes,Cirrhitidae,Oxycirrhites typus,0,
Perciformes,Cirrhitidae,Paracirrhites arcatus,0,
