Order,Family ,Genera,Taxa,Endemic_Revised,iucn_shapefile,molecular_data,depth_min,depth_max,trophic_level,activity,body_size,larval_dispersal,PLD
Perciformes,Pomacentridae,Chromis,Chromis_hanui,1,0,0,,,,,,,
Perciformes,Pomacentridae,Chromis,Chromis_leucura,0,0,0,,,,,,,
Perciformes,Pomacentridae,Chromis,Chromis_ovalis,1,0,0,,,,,,,
Perciformes,Pomacentridae,Chromis,Chromis_verater,1,0,0,,,,,,,
Perciformes,Kyphosidae,Kyphosus,Kyphosus_hawaiiensis,1,0,0,,,,,,,
Tetraodontiformes,Ostraciidae ,Lactoria,Lactoria_fornasini,0,0,0,,,,,,,
Perciformes,Pinguipedidae,Parapercis,Parapercis_schauinslandi,0,0,0,,,,,,,
Perciformes,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon_sindonis,1,0,0,,,,,,,
Perciformes,Gobiidae,Psilogobius,Psilogobius_mainlandi,1,0,0,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_leucopareius,0,1,0,,,,,,,
Perciformes,Acanthuridae,Acanthurus ,Acanthurus_maculiceps,0,1,0,,,,,,,
Perciformes,Apogonidae ,Apolemichthys,Apolemichthys_arcuatus,1,1,0,,,,,,,
Perciformes,Labridae,Bodianus,Bodianus_albotaeniatus,1,1,0,,,,,,,
Tetraodontiformes,Tetraodontidae ,Canthigaster,Canthigaster_epilampra,0,1,0,,,,,,,
Scorpaeniformes,Scorpaenidae,Caracanthus,Caracanthus_typicus,1,1,0,,,,,,,
Perciformes,Pomacanthidae ,Centropyge,Centropyge_fisheri,0,1,0,,,,,,,
Perciformes,Pomacanthidae ,Centropyge,Centropyge_interrupta,0,1,0,,,,,,,
Perciformes,Scaridae ,Chlorurus,Chlorurus_perspicillatus,1,1,0,,,,,,,
Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus_jordani,1,1,0,,,,,,,
Perciformes,Cirrhitidae,Cirrhitops,Cirrhitops_fasciatus,0,1,0,,,,,,,
Perciformes,Blenniidae ,Cirripectes,Cirripectes_obscurus,1,1,0,,,,,,,
Perciformes,Blenniidae ,Cirripectes,Cirripectes_vanderbilti,1,1,0,,,,,,,
Perciformes,Labridae,Coris,Coris_ballieui,1,1,0,,,,,,,
Perciformes,Labridae,Coris,Coris_venusta,1,1,0,,,,,,,
Perciformes,Labridae,Cymolutes,Cymolutes_lecluse,1,1,0,,,,,,,
Scorpaeniformes,Scorpaenidae,Dendrochirus,Dendrochirus_barberi,1,1,0,,,,,,,
Anguilliformes,Muraenidae,Enchelycore,Enchelycore_pardalis,0,1,0,,,,,,,
Perciformes,Blenniidae ,Entomacrodus,Entomacrodus_marmoratus,1,1,0,,,,,,,
Perciformes,Blenniidae ,Exallias,Exallias_brevis,0,1,0,,,,,,,
Perciformes,Pomacanthidae ,Genicanthus,Genicanthus_personatus,1,1,0,,,,,,,
Perciformes,Microdesmidae,Gunnellichthys,Gunnellichthys_curiosus,0,1,0,,,,,,,
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_steindachneri,1,1,0,,,,,,,
Perciformes,Labridae,Iniistius,Iniistius_umbrilatus,1,1,0,,,,,,,
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys_mimicus,0,1,0,,,,,,,
Perciformes,Mullidae,Mulloidichthys,Mulloidichthys_pflugeri,0,1,0,,,,,,,
Perciformes,Apogonidae ,Ostorhinchus,Ostorhinchus_maculiferus,1,1,0,,,,,,,
Perciformes,Cirrhitidae,Oxycirrhites,Oxycirrhites_typus,0,1,0,,,,,,,
Perciformes,Mullidae,Parupeneus,Parupeneus_porphyreus,1,1,0,,,,,,,
Tetraodontiformes,Monacanthidae,Pervagor,Pervagor_aspricaudus,0,1,0,,,,,,,
Tetraodontiformes,Monacanthidae,Pervagor,Pervagor_spilosoma,1,1,0,,,,,,,
Perciformes,Blenniidae ,Plagiotremus,Plagiotremus_ewaensis,1,1,0,,,,,,,
Perciformes,Blenniidae ,Plagiotremus,Plagiotremus_goslinei,1,1,0,,,,,,,
Scorpaeniformes,Scorpaenidae,Pterois,Pterois_sphex,1,1,0,,,,,,,
Beryciformes,Holocentridae ,Sargocentron,Sargocentron_ensifer,0,1,0,,,,,,,
Aulopiformes ,Synodontidae,Saurida,Saurida_flamma,0,1,0,,,,,,,
Scorpaeniformes,Scorpaenidae,Scorpaenopsis,Scorpaenopsis_cacopsis,1,1,0,,,,,,,
Scorpaeniformes,Scorpaenidae,Sebastapistes,Sebastapistes_ballieui,1,1,0,,,,,,,
Scorpaeniformes,Scorpaenidae,Sebastapistes,Sebastapistes_coniorta,0,1,0,,,,,,,
Lophiiformes,Antennariidae,Antennarius,Antennarius_commerson,0,0,1,,,,,,,
Perciformes,Cheilodactylidae,Cheilodactylus,Cheilodactylus_vittatus,1,0,1,,,,,,,
Perciformes,Pomacentridae,Chromis,Chromis_acares,0,0,1,,,,,,,
Perciformes,Pomacentridae,Chromis,Chromis_agilis,0,0,1,,,,,,,
Perciformes,Pomacentridae,Chromis,Chromis_vanderbilti,0,0,1,,,,,,,
Perciformes,Pomacentridae,Dascyllus ,Dascyllus_albisella,1,0,1,,,,,,,
Anguilliformes,Muraenidae,Enchelynassa,Enchelynassa_canina,0,0,1,,,,,,,
Perciformes,Kuhliidae,Kuhlia,Kuhlia_sandvicensis,0,0,1,,,,,,,
Perciformes,Kyphosidae,Kyphosus,Kyphosus_vaigiensis,0,0,1,,,,,,,
Perciformes,Malacanthidae,Malacanthus,Malacanthus_brevirostris,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Melichthys,Melichthys_vidua,0,0,1,,,,,,,
Anguilliformes,Ophichthidae,Myrichthys ,Myrichthys_magnificus,1,0,1,,,,,,,
Perciformes,Oplegnathidae,Oplegnathus,Oplegnathus_fasciatus,0,0,1,,,,,,,
Perciformes,Oplegnathidae,Oplegnathus,Oplegnathus_punctatus,0,0,1,,,,,,,
Tetraodontiformes,Ostraciidae ,Ostracion,Ostracion_meleagris,0,0,1,,,,,,,
Tetraodontiformes,Ostraciidae ,Ostracion,Ostracion_whitleyi,0,0,1,,,,,,,
Perciformes,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon_imparipennis,0,0,1,,,,,,,
Perciformes,Pomacentridae,Plectroglyphidodon,Plectroglyphidodon_johnstonianus,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Rhinecanthus,Rhinecanthus_aculeatus,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Rhinecanthus,Rhinecanthus_rectangulus,0,0,1,,,,,,,
Perciformes,Sphyraenidae ,Sphyraena,Sphyraena_barracuda,0,0,1,,,,,,,
Perciformes,Sphyraenidae ,Sphyraena,Sphyraena_helleri,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Sufflamen,Sufflamen_bursa,0,0,1,,,,,,,
Tetraodontiformes,Balistidae ,Xanthichthys,Xanthichthys_auromarginatus,0,0,1,,,,,,,
Perciformes,Pomacentridae,Abudefduf,Abudefduf_abdominalis,1,1,1,,,,,,,
