,iucn_names,Order,Family,Genera,Taxa,iucn_shapefile,molecular_data,depth_upper,depth_lower
1,Abudefduf abdominalis,Perciformes,Pomacentridae,Abudefduf,Abudefduf_abdominalis,1,1,1,50
2,Abudefduf sordidus,Perciformes,Pomacentridae,Abudefduf,Abudefduf_sordidus,1,1,0,3
3,Abudefduf vaigiensis,Perciformes,Pomacentridae,Abudefduf,Abudefduf_vaigiensis,1,1,1,15
4,Acanthurus achilles,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_achilles,1,1,0,18
5,Acanthurus blochii,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_blochii,1,1,2,50
6,Acanthurus dussumieri,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_dussumieri,1,1,4,131
7,Acanthurus guttatus,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_guttatus,1,1,1,6
8,Acanthurus leucopareius,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_leucopareius,1,0,1,85
9,Acanthurus lineatus,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_lineatus,1,1,0,15
11,Acanthurus nigricans,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_nigricans,1,1,0,67
12,Acanthurus nigrofuscus,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_nigrofuscus,1,1,0,25
13,Acanthurus nigroris,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_nigroris,1,1,1,90
14,Acanthurus olivaceus,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_olivaceus,1,1,3,83
15,Acanthurus thompsoni,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_thompsoni,1,1,4,119
16,Acanthurus triostegus,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_triostegus,1,1,0,90
17,Acanthurus xanthopterus,Perciformes,Acanthuridae,Acanthurus ,Acanthurus_xanthopterus,1,1,1,120
18,Aluterus scriptus,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus_scriptus,1,1,3,120
19,Amblycirrhitus bimacula,Perciformes,Cirrhitidae,Amblycirrhitus,Amblycirrhitus_bimacula,1,1,0,20
20,Anampses chrysocephalus,Perciformes,Labridae,Anampses,Anampses_chrysocephalus,1,1,12,139
21,Anampses cuvier,Perciformes,Labridae,Anampses,Anampses_cuvier,1,1,2,26
22,Aphareus furca,Perciformes,Lutjanidae ,Aphareus,Aphareus_furca,1,1,1,302
23,Apolemichthys arcuatus,Perciformes,Apogonidae ,Apolemichthys,Apolemichthys_arcuatus,1,0,10,183
24,Aprion virescens,Perciformes,Lutjanidae ,Aprion,Aprion_virescens,1,1,0,120
25,Arothron hispidus,Tetraodontiformes,Tetaodontidae ,Arothron,Arothron_hispidus,1,1,1,50
26,Arothron meleagris,Tetraodontiformes,Tetraodontidae ,Arothron,Arothron_meleagris,1,1,3,24
27,Aulostomus chinensis,Sygnathiformes ,Aulostomidae ,Aulostomus,Aulostomus_chinensis,1,1,0,200
28,Bodianus albotaeniatus,Perciformes,Labridae,Bodianus,Bodianus_albotaeniatus,1,0,8,200
29,Bothus mancus,Pleuronectiformes,Bothidae,Bothus,Bothus_mancus,1,1,1,256
30,Brotula multibarbata,Ophidiiformes,Ophidiidae ,Brotula,Brotula_multibarbata,1,1,0,650
31,Calotomus carolinus,Perciformes,Scaridae ,Calotomus,Calotomus_carolinus,1,1,2,30
