"","Order","Family","Genera","Taxa","iucn_shapefile","molecular_data","iucn_names","Endemic_Revised","depth_upper","depth_lower","main_islands","nwhi","total"
"1","Anguilliformes","Muraenidae","Echidna ","Echidna_nebulosa",1,1,"Echidna nebulosa",0,1,48,0.009262043,0.009350753,0.018612796
"2","Anguilliformes","Muraenidae","Enchelycore","Enchelycore_pardalis",1,0,"Enchelycore pardalis",0,8,60,0.059290964,0.059858846,0.11914981
"3","Anguilliformes","Muraenidae","Enchelynassa","Enchelynassa_canina",0,1,NA,NA,NA,NA,NA,NA,NA
"4","Anguilliformes","Muraenidae","Gymnomuaena","Gymnomuraena_zebra",1,1,"Gymnomuraena zebra",0,3,50,0.011169808,0.011276791,0.022446599
"5","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_eurostus",1,1,"Gymnothorax eurostus",0,0,74,0.068108014,0.068760345,0.136868359
"6","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_flavimarginatus",1,1,"Gymnothorax flavimarginatus",0,1,150,0.009746829,0.009840182,0.019587011
"7","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_javanicus",1,1,"Gymnothorax javanicus",0,0,50,0.010218317,0.010316186,0.020534503
"8","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_melatremus",1,1,"Gymnothorax melatremus",0,1,58,0.01102673,0.011132342,0.022159072
"9","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_meleagris",1,1,"Gymnothorax meleagris",0,1,51,0.011818983,0.011932183,0.023751166
"10","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_rueppelliae",1,1,"Gymnothorax rueppelliae",0,1,40,0.010662743,0.004922505,0.015585247
"11","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_steindachneri",1,0,"Gymnothorax steindachneri",1,5,124,0.494504213,0.49924052,0.993744733
"12","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax_undulatus",1,1,"Gymnothorax undulatus",0,9,110,0.009429638,0.009519954,0.018949592
"13","Anguilliformes","Muraenidae","Scuticaria ","Scuticaria_tigrina",1,1,"Scuticaria tigrina",0,8,25,0.071636751,0.022345187,0.093981937
"14","Anguilliformes","Ophichthidae","Myrichthys ","Myrichthys_magnificus",0,1,NA,NA,NA,NA,NA,NA,NA
"15","Aulopiformes ","Synodontidae","Saurida","Saurida_flamma",1,0,"Saurida flamma",0,5,30,0.323966299,0.001547456,0.325513755
"16","Aulopiformes ","Synodontidae","Saurida","Saurida_gracilis",1,1,"Saurida gracilis",0,1,12,0.009662216,0.00984406,0.019506276
"17","Aulopiformes ","Synodontidae","Synodus","Synodus_binotatus",1,1,"Synodus binotatus",0,1,30,0.018584403,8.88e-05,0.018673173
"18","Aulopiformes ","Synodontidae","Synodus","Synodus_dermatogenys",1,1,"Synodus dermatogenys",0,1,70,0.009580097,0.009760395,0.019340493
"19","Aulopiformes ","Synodontidae","Synodus","Synodus_ulae",1,1,"Synodus ulae",0,1,121,0.207894993,0.211807587,0.41970258
"20","Aulopiformes ","Synodontidae","Synodus","Synodus_variegatus",1,1,"Synodus variegatus",0,3,121,0.009739568,0.009922867,0.019662435
"21","Beryciformes","Holocentridae ","Myripristis","Myripristis_amaena",1,1,"Myripristis amaena",0,5,52,0.037453095,0.038157965,0.07561106
"22","Beryciformes","Holocentridae ","Myripristis","Myripristis_berndti",1,1,"Myripristis berndti",0,3,160,0.011694224,0.01191431,0.023608535
"23","Beryciformes","Holocentridae ","Myripristis","Myripristis_chryseres",1,1,"Myripristis chryseres",0,12,350,0.053143148,0.054143305,0.107286453
"24","Beryciformes","Holocentridae ","Myripristis","Myripristis_kuntee",1,1,"Myripristis kuntee",0,2,55,0.012328478,0.012560501,0.024888979
"25","Beryciformes","Holocentridae ","Myripristis","Myripristis_vittata",1,1,"Myripristis vittata",0,3,80,0.013477346,6.44e-05,0.013541722
"26","Beryciformes","Holocentridae ","Neoniphon","Neoniphon_aurolineatus",1,1,"Neoniphon aurolineatus",0,30,160,0.081219567,0.060983591,0.142203158
"27","Beryciformes","Holocentridae ","Neoniphon","Neoniphon_sammara",1,1,"Neoniphon sammara",0,1,46,0.011235455,0.011446907,0.022682361
"28","Beryciformes","Holocentridae ","Pristilepis","Pristilepis_oligolepis",1,0,"Pristilepis oligolepis",0,9,348,0.213153085,0.001018146,0.214171231
"29","Beryciformes","Holocentridae ","Sargocentron","Sargocentron_diadema",1,1,"Sargocentron diadema",0,1,60,0.011114933,0.011324117,0.02243905
"30","Beryciformes","Holocentridae ","Sargocentron","Sargocentron_ensifer",1,0,"Sargocentron ensifer",0,1,64,0.13781295,0.139132908,0.276945858
"31","Beryciformes","Holocentridae ","Sargocentron","Sargocentron_punctatissimum",1,1,"Sargocentron punctatissimum",0,1,183,0.011185112,0.011395617,0.022580729
"32","Beryciformes","Holocentridae ","Sargocentron","Sargocentron_spiniferum",1,1,"Sargocentron spiniferum",0,1,122,0.011311468,0.01152435,0.022835818
