Order,Family,Genera,iucn_names,Taxa,iucn_shapefile,molecular_data,depth_upper,depth_lower,nwhi,main_islands,total_prange,endemicity,missing_species
Perciformes,Pomacentridae,Abudefduf,Abudefduf abdominalis,Abudefduf_abdominalis,1,1,1,50,0.460690768,0.46396764,0.924658408,1,0
Perciformes,Pomacentridae,Abudefduf,Abudefduf sordidus,Abudefduf_sordidus,1,1,0,3,0.004498448,0.009347074,0.013845522,0,0
Perciformes,Pomacentridae,Abudefduf,Abudefduf vaigiensis,Abudefduf_vaigiensis,1,1,1,15,0.009131072,0.009314713,0.018445785,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus achilles,Acanthurus_achilles,1,1,0,18,0.035294712,0.032531076,0.067825788,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus blochii,Acanthurus_blochii,1,1,2,50,0.015646943,0.01451427,0.030161213,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus dussumieri,Acanthurus_dussumieri,1,1,4,131,0.014134753,0.013027977,0.02716273,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus guttatus,Acanthurus_guttatus,1,1,1,6,0.01562537,0.01449426,0.03011963,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus leucopareius,Acanthurus_leucopareius,1,0,1,85,0.062907146,0.057981409,0.120888555,0,1
Perciformes,Acanthuridae,Acanthurus ,Acanthurus lineatus,Acanthurus_lineatus,1,1,0,15,0,0.001527648,0.001527648,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus maculiceps,Acanthurus_maculiceps,0,0,NA,NA,NA,NA,NA,NA,1
Perciformes,Acanthuridae,Acanthurus ,Acanthurus nigricans,Acanthurus_nigricans,1,1,0,67,0.012902197,0.011968215,0.024870412,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus nigrofuscus,Acanthurus_nigrofuscus,1,1,0,25,0.010081396,0.009292006,0.019373402,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus nigroris,Acanthurus_nigroris,1,1,1,90,0.482778923,0.444976514,0.927755437,1,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus olivaceus,Acanthurus_olivaceus,1,1,3,83,0.01424988,0.013133517,0.027383396,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus thompsoni,Acanthurus_thompsoni,1,1,4,119,0.011569279,0.010663385,0.022232664,0,0
Perciformes,Acanthuridae,Acanthurus ,Acanthurus triostegus,Acanthurus_triostegus,1,1,0,90,0.010026096,0.009241035,0.019267131,0,0
