Taxa,Branching times (mya,Status,Taxa,Branching times (mya),Status
Abudefduf  vaigiensis,5.050548,Non_endemic,Aluterus  scriptus,19.377179,Non_endemic
Abudefduf  sordidus,6.826501,Non_endemic,Xanthichthys  mento,2.333318,Non_endemic
Caranx  sexfasciatus,7.80534,Non_endemic,Melichthys  niger,3.513036,Non_endemic
Carangoides  ferdau,6.755582,Non_endemic,Thalassoma  trilobatum,1.978198,Non_endemic
Scomberoides  lysan,0.021792,Non_endemic,Thalassoma  purpureum,1.978198,Non_endemic
Ptereleotris  heteroptera,18.300839,Non_endemic,Thalassoma  lutescens,2.710986,Non_endemic
Nemateleotris  magnifica,24.661032,Non_endemic,Thalassoma  quinquevittatum,11.3828,Non_endemic
Parupeneus  insularis,5.259119,Non_endemic,Gomphosus  varius,17.670747,Non_endemic
Parupeneus  cyclostomus,17.740411,Non_endemic,Pseudojuloides  cerasinus,17.973204,Non_endemic
Parupeneus  pleurostigma,21.073558,Non_endemic,Coris  gaimard,2.287236,Non_endemic
Mulloidichthys  flavolineatus,16.148533,Non_endemic,Cheilio  inermis,28,Non_endemic_MaxAge
Mulloidichthys  vanicolensis,14.721039,Non_endemic,Cymolutes  praetextatus,9.373712,Non_endemic
Fistularia  commersonii,19.359546,Non_endemic,Iniistius  aneitensis,23.561659,Non_endemic
Scorpaenodes  parvipinnis,0.28214,Non_endemic,Iniistius  pavo,16.1014,Non_endemic
Scorpaenopsis  diabolus,26.051087,Non_endemic,Novaculichthys  taeniourus,28,Non_endemic_MaxAge
Taenianotus  triacanthus,28,Non_endemic_MaxAge,Scarus  rubroviolaceus,5.230123,Non_endemic
Paracirrhites  forsteri,12.820043,Non_endemic,Scarus  psittacus,9.962517,Non_endemic
Paracirrhites  arcatus,24.843792,Non_endemic,Chlorurus  spilurus,0.007648,Non_endemic
Amblycirrhitus  bimacula,28,Non_endemic_MaxAge,Calotomus  carolinus,10.089948,Non_endemic
