Family,Taxa,depth_upper,depth_lower,total_prange,endemicity
Muraenidae,Gymnothorax_steindachneri,5,124,1,1
Labridae,Anampses_chrysocephalus,12,139,0.999999999,1
Monacanthidae,Cantherhines_verecundus,14,92,0.999999999,1
Scorpaenidae,Caracanthus_typicus,0,25,0.999999999,1
Chaetodontidae ,Chaetodon_fremblii,1,128,0.999999999,1
Cirrhitidae,Cirrhitops_fasciatus,1,52,0.999999999,1
Blenniidae ,Cirripectes_obscurus,0,6,0.999999999,1
Labridae,Coris_flavovittata,1,98,0.999999999,1
Labridae,Coris_venusta,2,10,0.999999999,1
Labridae,Cymolutes_lecluse,5,119,0.999999999,1
Blenniidae ,Entomacrodus_marmoratus,0,6,0.999999999,1
Pomacanthidae ,Genicanthus_personatus,10,150,0.999999999,1
Labridae,Halichoeres_ornatissimus,1,15,0.999999999,1
Labridae,Iniistius_umbrilatus,6,76,0.999999999,1
Mullidae,Parupeneus_porphyreus,2,140,0.999999999,1
Blenniidae ,Plagiotremus_ewaensis,2,55,0.999999999,1
Scorpaenidae,Pterois_sphex,3,124,0.999999999,1
Scorpaenidae,Scorpaenopsis_cacopsis,4,61,0.999999999,1
Blenniidae ,Plagiotremus_goslinei,1,15,0.999999998,1
Acanthuridae,Ctenochaetus_strigosus,1,113,0.927760839,1
Acanthuridae,Acanthurus_nigroris,1,90,0.927755437,1
Labridae,Anampses_cuvier,2,26,0.927589902,1
Tetraodontidae ,Canthigaster_jactator,1,89,0.927589902,1
Pomacanthidae ,Centropyge_potteri,10,120,0.927589902,1
Scaridae ,Chlorurus_perspicillatus,1,71,0.927589902,1
Blenniidae ,Cirripectes_vanderbilti,1,11,0.927589902,1
Labridae,Coris_ballieui,10,108,0.927589902,1
Scorpaenidae,Dendrochirus_barberi,0,134,0.927589902,1
Labridae,Labroides_phthirophagus,1,90,0.927589902,1
Labridae,Macropharyngodon_geoffroy,6,32,0.927589902,1
Monacanthidae,Pervagor_spilosoma,6,138,0.927589902,1
Scaridae ,Scarus_dubius,1,20,0.927589902,1
Scorpaenidae,Sebastapistes_ballieui,1,11,0.927589902,1
Scorpaenidae,Sebastapistes_coniorta,1,33,0.927589902,1
Labridae,Stethojulis_balteata,2,15,0.927589902,1
Labridae,Thalassoma_ballieui,1,60,0.927589902,1
Labridae,Thalassoma_duperrey,1,21,0.927589902,1
Chaetodontidae ,Chaetodon_multicinctus,5,114,0.927588862,1
Pomacentridae,Abudefduf_abdominalis,1,50,0.924658408,1
Monacanthidae,Cantherhines_sandwichiensis,2,73,0.493776493,0
Synodontidae,Synodus_ulae,1,121,0.446422901,0
Mullidae,Mulloidichthys_mimicus,12,15,0.352128969,0
Synodontidae,Saurida_flamma,5,30,0.336405831,0
Holocentridae ,Sargocentron_ensifer,1,64,0.278689133,0
Mullidae,Mulloidichthys_pfluegeri,13,110,0.174194357,0
Acanthuridae,Zebrasoma_flavescens,1,81,0.15469285,0
Muraenidae,Gymnothorax_eurostus,0,74,0.137729896,0
Acanthuridae,Acanthurus_leucopareius,1,85,0.120888555,0
Muraenidae,Enchelycore_pardalis,8,60,0.119899815,0
Monacanthidae,Pervagor_aspricaudus,0,25,0.114561008,0
Muraenidae,Scuticaria_tigrina,8,25,0.094059431,0
Labridae,Pseudocheilinus_tetrataenia,6,44,0.092949171,0
Mullidae,Parupeneus_insularis,1,80,0.092172993,0
Holocentridae ,Myripristis_amaena,5,52,0.08042483,0
Pomacanthidae ,Centropyge_interrupta,15,60,0.078464571,0
Balistidae ,Xanthichthys_mento,6,131,0.074616079,0
Acanthuridae,Acanthurus_achilles,0,18,0.067825788,0
Acanthuridae,Naso_caesius,3,50,0.064975984,0
Chaetodontidae ,Chaetodon_quadrimaculatus,2,43,0.059202369,0
Serranidae ,Pseudanthias_bicolor,5,104,0.044168841,0
Pomacanthidae ,Centropyge_loriculus,15,60,0.043082601,0
Tetraodontidae ,Arothron_meleagris,3,24,0.042923531,0
Acanthuridae,Ctenochaetus_hawaiiensis,1,61,0.041442642,0
Tetraodontidae ,Canthigaster_epilampra,6,90,0.040555135,0
Labridae,Thalassoma_lutescens,1,30,0.035610045,0
Labridae,Coris_gaimard,1,50,0.031711603,0
Labridae,Pseudocheilinus_octotaenia,2,50,0.031023904,0
Cirrhitidae,Cirrhitus_pinnulatus,1,23,0.030806829,0
Acanthuridae,Acanthurus_blochii,2,50,0.030161213,0
Acanthuridae,Acanthurus_guttatus,1,6,0.03011963,0
Cirrhitidae,Amblycirrhitus_bimacula,0,20,0.029066957,0
Labridae,Oxycheilinus_bimaculatus,2,110,0.027802063,0
Labridae,Pseudojuloides_cerasinus,3,61,0.027682607,0
Acanthuridae,Acanthurus_olivaceus,3,83,0.027383396,0
Labridae,Thalassoma_trilobatum,1,10,0.02726284,0
Acanthuridae,Acanthurus_dussumieri,4,131,0.02716273,0
Cirrhitidae,Paracirrhites_arcatus,1,91,0.026573661,0
Labridae,Gomphosus_varius,1,32,0.026490449,0
Labridae,Pseudocheilinus_evanidus,3,143,0.026487521,0
Holocentridae ,Myripristis_kuntee,2,55,0.026473534,0
